iter	Passed	Remaining
812	1227	282
813	1229	280
814	1231	279
815	1232	277
816	1234	276
817	1236	275
818	1237	273
819	1239	272
820	1241	270
821	1242	269
822	1244	267
823	1245	266
824	1247	264
825	1249	263
826	1250	261
827	1251	260
828	1253	258
829	1254	257
830	1256	255
831	1257	253
832	1259	252
833	1261	251
834	1262	249
835	1264	247
836	1265	246
837	1267	244
838	1268	243
839	1270	241
840	1271	240
841	1273	238
842	1274	237
843	1276	235
844	1277	234
845	1279	232
846	1280	231
847	1281	229
848	1283	228
849	1284	226
850	1285	225
851	1287	223
852	1288	222
853	1290	220
854	1291	219
855	1292	217
856	1294	215
857	1295	214
858	1296	212
859	1298	211
860	1299	209
861	1301	208
862	1302	206
863	1303	205
864	1305	203
865	1306	202
866	1307	200
867	1309	199
868	1310	197
869	1312	196
870	1313	194
871	1314	193
872	1316	191
873	1318	190
874	1319	188
875	1320	186
876	1322	185
877	1323	183
878	1324	182
879	1326	180
880	1327	179
881	1329	177
882	1330	176
883	1332	174
884	1333	173
885	1335	171
886	1336	170
887	1338	168
888	1340	167
889	1341	165
890	1343	164
891	1344	162
892	1346	161
893	1348	159
894	1349	158
895	1351	156
896	1353	155
897	1354	153
898	1356	152
899	1357	150
900	1358	149
901	1360	147
902	1362	146
903	1363	144
904	1365	143
905	1367	141
906	1368	140
907	1370	138
908	1372	137
909	1373	135
910	1375	134
911	1377	132
912	1378	131
913	1380	129
914	1381	128
915	1383	126
916	1384	125
917	1386	123
918	1387	122
919	1389	120
920	1391	119
921	1393	117
922	1394	116
923	1396	114
924	1398	113
925	1400	111
926	1401	110
927	1403	108
928	1404	107
929	1406	105
930	1408	104
931	1409	102
932	1411	101
933	1413	99
934	1415	98
935	1416	96
936	1418	95
937	1419	93
938	1421	92
939	1422	90
940	1424	89
941	1426	87
942	1427	86
943	1429	84
944	1431	83
945	1432	81
946	1434	80
947	1435	78
948	1437	77
949	1439	75
950	1440	74
951	1442	72
952	1443	71
953	1445	69
954	1447	68
955	1448	66
956	1450	65
957	1452	63
958	1453	62
959	1455	60
960	1456	59
961	1458	57
962	1460	56
963	1462	54
964	1463	53
965	1465	51
966	1466	50
967	1468	48
968	1469	47
969	1470	45
970	1472	43
971	1473	42
972	1475	40
973	1476	39
974	1478	37
975	1480	36
976	1481	34
977	1483	33
978	1484	31
979	1486	30
980	1487	28
981	1489	27
982	1491	25
983	1492	24
984	1493	22
985	1495	21
986	1496	19
987	1498	18
988	1499	16
989	1501	15
990	1502	13
991	1504	12
992	1505	10
993	1506	9
994	1508	7
995	1509	6
996	1511	4
997	1513	3
998	1514	1
999	1516	0
